second,mode,score,dtlb_mpki,llc_mpki,pf_rate,work_ms,ops_per_sec,thp_state,switch_event
1,on,0.41375269504959583,4.648433324038892,4.420993114578712,1.9051176649045851,19.79278356289543,79399.82355365381,THP_ON,0
2,on,0.43322423372460844,4.6270911489496225,5.280659539903481,1.8021822626504997,20.580237525206613,78027.73391479254,THP_ON,0
3,on,0.44426451114988075,5.122415807329413,4.270716311373588,2.6018423111179105,17.27997243293137,81324.4291901768,THP_ON,0
4,on,0.4826281571405722,5.4157432857338375,5.262708001135524,1.8864752630728954,18.71664058736127,82987.08051830636,THP_ON,0
5,on,0.36223763583514457,4.042599211140645,3.877072248102369,1.8972568404442578,20.055901364611533,79441.03668074535,THP_ON,0
6,on,0.3902141431815007,4.313847574127559,4.08427285087359,2.7737772790032813,21.105510347270172,82992.2276571539,THP_ON,0
7,on,0.42366471903791214,4.862668779091455,4.131540576498524,2.4689108898349756,20.79007448184403,80905.55062505325,THP_ON,0
8,on,0.39216187140597847,4.482244536326937,3.85596416399443,2.3433725678526245,18.91031222037733,77613.16061456835,THP_ON,0
9,on,0.43793507027923906,5.12961782286809,3.962025812666205,2.742496654999244,18.737845484714377,76797.30856011144,THP_ON,0
10,on,0.4234585245306314,4.5535382689781505,5.0079840676645055,2.0494171541826485,16.529559595792083,80194.79205284455,THP_ON,0
11,on,0.39210028724936824,4.072746152830754,4.960452437353255,2.0313512645422085,18.56064120836354,80536.55079949707,THP_ON,0
12,on,0.4158244455894142,4.80699370502798,3.920424728809543,2.606508120739032,19.600585126371683,84294.81214327108,THP_ON,0
13,on,0.42866010455491327,4.980549078139346,4.116885169823775,2.168048688841464,16.85309776908891,82412.28008852137,THP_ON,0
14,on,0.4448370695326808,4.88225449170733,4.977915124469828,2.2872428533840523,17.9514309254859,78220.89214185668,THP_ON,0
15,on,0.3977282989710373,4.559484402253773,3.933300875391919,2.164200291806778,18.829179575518236,78310.54436103549,THP_ON,0
16,on,0.4026267701502592,4.438369061838297,4.258869698162211,2.8135441996965556,20.394462603938138,81338.6210337097,THP_ON,0
17,on,0.4407338680486172,5.340058227670953,3.569202365244294,2.6625254532112836,19.190956797994037,82927.89248883832,THP_ON,0
18,on,0.40335651696139,4.339253185360105,4.737408049854974,2.0576987445013626,18.359385917880118,82208.22249367015,THP_ON,0
19,on,0.38253729955383314,4.382971647217191,3.7298907876423772,2.303145286754884,18.04502956670052,80503.39512008661,THP_ON,0
20,on,0.4065413389736484,4.712018773653424,3.9795485175213585,1.8827179023413256,16.234240184094972,81305.27818688119,THP_ON,0
21,on,0.38583093204850494,4.184714882379522,4.429896887764724,2.0308244558500093,18.021988975480202,81682.83904839918,THP_ON,0
22,on,0.4195919811315588,4.6546857314833625,4.62443171177179,1.959499517933089,20.06366321152202,85619.65641497723,THP_ON,0
